"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p",6.24242045499989,3.72842310462738,1.42548059603053,0.170867501180491,0.873985715175209,-10.205692499729
"hsa-miR-525-5p",1.43853007399998,0.104677071802281,1.42541779364369,0.170885395495588,0.873985715175209,-10.2057774740612
"hsa-miR-532-3p",4.30088848999993,1.4368980869962,1.42386659911393,0.171327860923867,0.873985715175209,-10.2078753562475
"hsa-miR-934",4.79235800699992,2.55708377837643,1.42230894879703,0.171773102431107,0.873985715175209,-10.2099801295759
"hsa-miR-592",5.6642110479999,2.92835761574525,1.42059175747933,0.172265034158488,0.873985715175209,-10.2122983443397
"hsa-miR-1283",7.92309238999987,4.69581843039164,1.41995499584824,0.172447740162845,0.873985715175209,-10.2131574046956
"hsa-miR-18a",4.56138174599995,3.29872906369582,1.41923731045633,0.172653853815266,0.873985715175209,-10.2141252699736
"hsa-miR-569",-4.37619139599992,2.32660145101901,-1.41082913649876,0.175083509184979,0.876325184667002,-10.2254352230283
"hsa-miR-192",6.89402279699987,4.97732323492776,1.40938418764499,0.175503817637669,0.876325184667002,-10.2273734083752
"hsa-miR-744",5.85076056599989,3.3385044061597,1.390498230587,0.181072670685638,0.898022569481475,-10.2525588980865
"hsa-let-7b",1.94045891999999,10.7752864944144,1.38581466457823,0.182475482213292,0.89890606674199,-10.2587622111112
